!cd $DIR; PYTHONPATH=/content/$DIR python3.8 project/run_fast_tensor.py --BACKEND cpu --HIDDEN 100 --DATASET simple --RATE 0.05

/bin/bash: line 1: cd: mle-module-3-HarshiniDonepudi: No such file or directory
Epoch 81, Time: 0.1958s, Loss: 0.8844444808551122, Correct: 50
Epoch 82, Time: 0.1394s, Loss: 0.705182790133463, Correct: 50
Epoch 83, Time: 0.1434s, Loss: 0.15282074225218456, Correct: 50
Epoch 84, Time: 0.1648s, Loss: 0.3335964125861032, Correct: 50
Epoch 85, Time: 0.2464s, Loss: 0.1909383101674239, Correct: 50
Epoch 86, Time: 0.2610s, Loss: 0.8476998949229912, Correct: 50
Epoch 87, Time: 0.1486s, Loss: 0.2149862223280643, Correct: 50
Epoch 88, Time: 0.2760s, Loss: 0.16254827611468145, Correct: 50
Epoch 89, Time: 0.2949s, Loss: 0.5579611556637056, Correct: 50
Epoch 90, Time: 0.2116s, Loss: 0.22220920815815096, Correct: 50
Epoch 91, Time: 0.2571s, Loss: 0.9146920132178643, Correct: 50
Epoch 92, Time: 0.2862s, Loss: 0.1089178040251271, Correct: 50
Epoch 93, Time: 0.2957s, Loss: 0.6080554274192841, Correct: 50
Epoch 94, Time: 0.2873s, Loss: 0.310391373006796, Correct: 50
Epoch 95, Time: 0.2858s, Loss: 0.6201785274789967, Correct: 50
Epoch 96, Time: 0.2038s, Loss: 1.0586950566778808, Correct: 50
Epoch 97, Time: 0.2813s, Loss: 1.1804176347645101, Correct: 50
Epoch 98, Time: 0.2627s, Loss: 1.1579351661039563, Correct: 50
Epoch 99, Time: 0.2881s, Loss: 0.5994971036493298, Correct: 50
Epoch 100, Time: 0.2810s, Loss: 0.21398471357385668, Correct: 50
Epoch 101, Time: 0.1667s, Loss: 0.7109126656989284, Correct: 50
Epoch 102, Time: 0.1552s, Loss: 0.5177385532425567, Correct: 50
Epoch 103, Time: 0.2723s, Loss: 0.7304590190250769, Correct: 50
Epoch 104, Time: 0.2035s, Loss: 0.6990176136807104, Correct: 50
Epoch 105, Time: 0.1448s, Loss: 0.3306351842216299, Correct: 50
Epoch 106, Time: 0.1435s, Loss: 0.1514680596091143, Correct: 50
Epoch 107, Time: 0.1941s, Loss: 0.5498096611354334, Correct: 50
Epoch 108, Time: 0.2826s, Loss: 0.06347490791091433, Correct: 50
Epoch 109, Time: 0.1599s, Loss: 1.2969000067544028, Correct: 50
Epoch 110, Time: 0.0997s, Loss: 0.8605351657436755, Correct: 50
Epoch 111, Time: 0.1033s, Loss: 0.04710566621144426, Correct: 50
Epoch 112, Time: 0.1053s, Loss: 0.0932134189351478, Correct: 50
Epoch 113, Time: 0.0999s, Loss: 0.43616870706858824, Correct: 50
Epoch 114, Time: 0.1015s, Loss: 0.42365236656960614, Correct: 50
Epoch 115, Time: 0.1006s, Loss: 0.36599647822151987, Correct: 50
Epoch 116, Time: 0.1006s, Loss: 0.7462859713136305, Correct: 50
Epoch 117, Time: 0.0994s, Loss: 0.08576238485459381, Correct: 50
Epoch 118, Time: 0.1007s, Loss: 0.08256813029833202, Correct: 50
Epoch 119, Time: 0.1107s, Loss: 0.8301980821469714, Correct: 50
Epoch 120, Time: 0.1056s, Loss: 0.6917714158197028, Correct: 50
Epoch 121, Time: 0.1075s, Loss: 0.41717027668623374, Correct: 50
Epoch 122, Time: 0.1028s, Loss: 0.44962363210235906, Correct: 50
Epoch 123, Time: 0.1017s, Loss: 0.08976456053920961, Correct: 50
Epoch 124, Time: 0.0995s, Loss: 0.09229970153604143, Correct: 50
Epoch 125, Time: 0.1023s, Loss: 0.11682329140274267, Correct: 50
Epoch 126, Time: 0.1007s, Loss: 0.07900502144373237, Correct: 50
Epoch 127, Time: 0.1028s, Loss: 0.4112718839806696, Correct: 50
Epoch 128, Time: 0.1108s, Loss: 0.6273317503501624, Correct: 50
Epoch 129, Time: 0.1015s, Loss: 0.4426197604046659, Correct: 50
Epoch 130, Time: 0.1024s, Loss: 0.13009278741005406, Correct: 50
Epoch 131, Time: 0.1029s, Loss: 0.5037305278553728, Correct: 50
Epoch 132, Time: 0.1013s, Loss: 0.18882091766839743, Correct: 50
Epoch 133, Time: 0.1024s, Loss: 0.2976249210743348, Correct: 50
Epoch 134, Time: 0.1014s, Loss: 0.5597245379797672, Correct: 50
Epoch 135, Time: 0.1013s, Loss: 0.7136349627056747, Correct: 50
Epoch 136, Time: 0.0994s, Loss: 1.003965257142914, Correct: 50
Epoch 137, Time: 0.1118s, Loss: 0.21425739506333513, Correct: 50
Epoch 138, Time: 0.1004s, Loss: 0.036998408334455786, Correct: 50
Epoch 139, Time: 0.1012s, Loss: 0.017375549587312987, Correct: 50
Epoch 140, Time: 0.1070s, Loss: 0.4186939996446723, Correct: 50
Epoch 141, Time: 0.1034s, Loss: 0.6218280884704246, Correct: 50
Epoch 142, Time: 0.0994s, Loss: 0.04249838056107236, Correct: 50
Epoch 143, Time: 0.1032s, Loss: 0.17808943605374314, Correct: 50
Epoch 144, Time: 0.1019s, Loss: 0.04552238448066832, Correct: 50
Epoch 145, Time: 0.0999s, Loss: 0.41042838734267173, Correct: 50
Epoch 146, Time: 0.1049s, Loss: 0.05214892995257734, Correct: 50
Epoch 147, Time: 0.1131s, Loss: 0.3790485381472775, Correct: 50
Epoch 148, Time: 0.1078s, Loss: 0.14507589902236548, Correct: 50
Epoch 149, Time: 0.1052s, Loss: 0.3403967148160745, Correct: 50
Epoch 150, Time: 0.1027s, Loss: 0.03504973628737341, Correct: 50
Epoch 151, Time: 0.1032s, Loss: 0.19948743388346826, Correct: 50
